"rpt_rec_num","Provider CCN","Hospital Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Number of Beds + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor: Direct Patient Care","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable","Inventory","Prepaid Expenses","Other Current Assets","Total Current Assets","Land","Land Improvements","Buildings","Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets","Investments","Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG Amounts Before October 1","DRG Amounts After October 1","Outlier Payments For Discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Total Patient Revenue","Less Contractual Allowance and Discounts on Patients' Accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone CHIP","Stand-Alone CHIP Charges"
747534,110130,IRWIN COUNTY HOSPITAL,710 NORTH IRWIN AVENUE,OCILLA,GA,31774,IRWIN,99911,R,STH,1,9,12/01/2022,01/31/2023,97.15,,,2,5,286,34,2108,,1,1,77,64,,2,1,154,34,2108,,1,1,77,,,,23092,1492240,1541403,79660,2463462,1892400,3881115,5773515,141304,,1492240,,,,385434,,,11838510,-9502121,236208,108038,14149,3178818,182812,201748,10450346,,23300,8143685,,298277,6750223,,206286,206286,10135327,2052873,821279,,142755,6426148,611623,9997226,,,,,,9997226,138101,138101,10135327,,4929,,,61,0.0496,,,1892400,4398064,6290464,4732674,1557790,3033643,-1475853,227033,-1248820,,-1248820,0.426683,30844,140289,13,212
748262,144042,LAKE BEHAVIORAL HOSPITAL,2615 WASHINGTON ST,WAUKEGAN,IL,60085,LAKE,29404,U,PH,4,5,10/01/2022,12/31/2022,227.95,,,613,391,10311,161,14812,,47,50,1057,161,,613,391,10311,161,14812,,47,50,1057,,,,,3462338,5123484,551836,8111462,22372700,960619,23333319,,,,,,,1226478,,,5786393,-2093427,73316,82586,,5075346,,,30000000,,,1780042,,,26537904,,403396,44986420,76599670,1964623,779946,,,,663708,3408277,,29278281,,16472518,45750799,49159076,27440594,27440594,76599670,,,,,,,,,24175458,960619,25136077,15351779,9784298,8585822,1198476,1434403,2632879,,2632879,,,,,
748457,043036,EVEREST REHABILITATION HOSPITAL BENT,4313 S PLEASANT CROSSING BLVD,ROGERS,AR,72758-1347,BENTON,22220,U,RH,5,6,01/01/2023,02/28/2023,74.54,,,524,10,895,36,2124,,43,1,63,36,,524,10,895,36,2124,,43,1,63,,,,,905192,1542746,270723,2795440,2948357,34172,2982529,,,,,,,1092364,,,521497,-207057,52275,6758,430324,1896161,,,19452573,,74613,1047730,468998,,16816798,,,532493,19245452,369908,97646,22833,837486,,88192,1416065,,17507370,,8940237,26447607,27863672,-8618220,-8618220,19245452,,,,,,,,,2948358,34173,2982531,1532078,1450453,2447938,-997485,478980,-518505,,-518505,,,,,
748589,454155,OCEANS BEHAVIORAL HOSPITAL CORPUS CH,600 ELIZABETH ST BUILDING B  4TH FLO,CORPUS CHRISTI,TX,78404,NUECES,18580,U,PH,4,4,11/17/2022,12/31/2022,68.01,,,64,,1041,42,1890,,6,,137,42,,64,,1041,42,1890,,6,,137,,,,,1586231,1858997,95066,1965696,1703505,,1703505,,,,,,,,,,1079601,-33678,,,84181,-2622367,,,,,1726846,,,,1632247,,7675778,7675778,6685658,80298,168672,,,,982950,1231920,,,,7734502,7734502,8966422,-2280764,-2280764,6685658,,,,,,,,,1703505,,1703505,441744,1261761,3445228,-2183467,170,-2183297,,-2183297,,,,,
748617,144043,MONTROSE BEHAVIORAL HEALTH HOSPITAL,4720 NORTH CLARENDON AVENUE,CHICAGO,IL,60640-5122,,,NA,PH,4,3,10/03/2022,12/31/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748727,421303,WILLIAMSBURG REGIONAL HOSPITAL,WILLIAMSBURG REGIONAL HOSPITAL,KINGSTREE,SC,29556,WILLIAMSBURG,99942,R,CAH,1,2,10/01/2022,01/16/2023,181.03,,,219,62,713,25,2725,,29,1,90,25,,121,16,368,21,2289,,29,1,90,,1209905,654829,654829,2828822,5847530,202178,7503553,3388938,10205503,13594441,,,,,,,2243413,,,4192790,,29972,5760,884736,8017202,445790,677106,5940498,74618,110161,671956,,,3339382,1382723,,1382723,12739307,3923021,,,,,149438,4072459,,,,663082,663082,4735541,8003766,8003766,12739307,,,,,,,,,3416074,12195042,15611116,10188128,5422988,8676352,-3253364,411377,-2841987,418570,-3260557,0.551957,93048,484572,,
748744,083028,PAM REHAB HOSP OF GEORGETOWN,22303 DUPONT BOULEVARD,GEORGETOWN,DE,19947,SUSSEX,41540,U,RH,5,5,01/27/2023,04/30/2023,81.59,,,1437,,1713,34,3196,,165,,187,34,,1437,,1713,34,3196,,165,,187,,,,,1782657,2072450,47769,3683530,5484225,251015,5735240,,,,,,,20,,,4027684,-16548,54415,55589,,4121160,,,,,,1593114,,,1542775,,29284209,29284209,34948144,546881,158730,-4432,,,42182,743361,,,,30089981,30089981,30833342,4114802,4114802,34948144,,,,,,,,,5484225,251015,5735240,1724085,4011155,3855107,156048,,156048,,156048,,,,,
749514,030077,SAN CARLOS APACHE HEALTHCARE CORP,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GRAHAM,99903,R,STH,1,7,10/01/2022,01/09/2023,820,,,77,282,483,12,1212,,16,86,136,12,,77,282,483,12,1212,,16,86,136,,,,,16170440,16900136,1375803,22963832,6762,209261,216023,1,,16170440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148720,,4462,0.12,,,,,,,,33070576,-33070576,,-33070576,,-33070576,,,,,
749926,313030,BACHARACH INSTITUTE FOR REHABILITATI,61 WEST JIMMIE LEEDS ROAD,POMONA,NJ,08240-0723,ATLANTIC,12100,U,RH,5,2,01/01/2023,03/30/2023,52.38,,,544,,737,80,7120,,35,,54,80,,544,,737,80,7120,,35,,54,,,,,5284894,4205190,394229,8333525,2665845,5803460,8469305,1599056,,5284894,8409,,,1086544,,,2405642,,181643,773656,541228,5236687,,431369,26634719,,1637582,,13585151,,8438396,5560167,45044250,50604417,64279500,354323,3834237,495,366855,,38346,7905305,,2350839,,,2350839,10256144,54023356,54023356,64279500,,,,,,,,,2665845,5803460,8469305,5724468,2744837,8364045,-5619208,1549116,-4070092,,-4070092,,,,,
750484,673073,EVEREST REHABILITATION HOSPITAL LONG,701 E LOOP 281,LONGVIEW,TX,75605,GREGG,30980,U,RH,5,6,01/01/2023,02/28/2023,71.91,,,1235,,1565,36,2124,,101,,125,36,,1235,,1565,36,2124,,101,,125,,,,,1071101,1955890,275227,3293256,4969922,101291,5071213,,,,,,,755440,,,358077,-7939525,96904,11507,,-5719604,,,19463810,,44391,1296814,656210,,16076865,,8090,530590,10887851,465675,101502,30079,768671,,986189,2352116,,17018214,,2021600,19039814,21391930,-10504079,-10504079,10887851,,,,,,,,,4969923,101291,5071214,2659654,2411560,3026991,-615431,1171,-614260,,-614260,,,,,
