Hospital (Novartis),Address,City,State,Zip,rpt_rec_num,Designation,LATITUDE,LONGITUDE,State_Full,Number of Beds,County,Lookup,prostate_cancer_incidence,Demand Weight,Demand per Year
MONUMENT HEALTH RAPID CITY HOSPITAL - FAIRMONT BLVD,353 FAIRMONT BLVD MEDICAL IMAGING/ NUCLEAR MEDICINE FL 2, RAPID CITY,SD,57701,793743.0,1,44.079142409,-103.2152968,South Dakota,385.0,Pennington,South DakotaPennington County,19.6,7546.000000000001,171.0
CHEYENNE REGIONAL MEDICAL CENTER,BLDG WEST CAMPUS FL 1 214 E 23RD ST, CHEYENNE,WY,82001-3748,791460.0,1,41.143174976,-104.7852121,Wyoming,159.0,Laramie,WyomingLaramie County,25.8,4102.2,93.0
BILLINGS CLINIC,2800 10TH AVE N, BILLINGS,MT,59101,777548.0,1,45.772835229,-108.5001171,Montana,334.0,Yellowstone,MontanaYellowstone County,29.2,9752.8,221.0
KAISER PERMANENTE ROCK CREEK,280 EXEMPLA CIR, LAFAYETTE,CO,80026,795452.0,1,39.996426261,-105.101503,Colorado,183.0,Boulder,ColoradoBoulder County,26.9,4922.7,111.0
UCHEALTH- UNIVERSITY OF COLORADO HOSPITAL,1635 AURORA CT, AURORA,CO,80045,791643.0,5,39.746989293,-104.837035,Colorado,754.0,Adams,ColoradoAdams County,21.7,81809.0,1850.0
NATIONAL JEWISH HEALTH,1400 JACKSON ST, DENVER,CO,80206,794719.0,1,39.733766122,-104.9526567,Colorado,13.0,Denver,ColoradoDenver County,21.9,284.7,6.0
ST ANTHONY HOSPITAL,ST ANTHONY HOSP - NUC MED 11700 W 2ND PLACE STE 150 FL 1, LAKEWOOD,CO,80228-1704,793800.0,1,39.695898787,-105.1449794,Colorado,220.0,Denver,ColoradoDenver County,21.9,4818.0,109.0
ADVENT HEALTH PORTER,PORTER HOSP NUC MED AND RAD 2525 S DOWNING ST, DENVER,CO,80210-5817,798652.0,1,39.679507894,-104.9643776,Colorado,180.0,Denver,ColoradoDenver County,21.9,3941.9999999999995,89.0
BOZEMAN HEALTH DEACONESS REGIONAL MEDICAL CENTER,DEACONESS HOSPI BLDG FL 2 915 HIGHLAND BLVD, BOZEMAN,MT,59715-6902,776612.0,1,45.677604129,-111.0268333,Montana,139.0,Gallatin,MontanaGallatin County,40.3,5601.7,127.0
AVERA MCKENNAN HOSPITAL,1325 S. CLIFF AVE, SIOUX FALLS,SD,57117,793742.0,1,43.5343730871434,-96.7148150907159,South Dakota,549.0,Minnehaha,South DakotaMinnehaha County,38.6,21191.4,479.0
NEBRASKA CANCER SPECIALISTS - GRAND ISLAND,2730 WEST FAIDLEY AVENUE, GRAND ISLAND,NE,68803,777240.0,1,40.925876179,-98.38455355,Nebraska,60.0,Hall,NebraskaHall County,19.6,1176.0,27.0
SANFORD MEDICAL CENTER FARGO,801 N BROADWAY, FARGO,ND,58102,775442.0,1,46.900421538,-96.79291485,North Dakota,493.0,Cass,North DakotaCass County,27.6,13606.800000000001,308.0
MARY LANNING HEALTHCARE,715 N. SAINT JOSEPH AVE, HASTINGS,NE,68901,777352.0,1,40.59033587,-98.39217201,Nebraska,106.0,Adams,NebraskaAdams County,20.7,2194.2,50.0
UCH MEMORIAL HOSPITAL CENTRAL,1400 E. BOULDER ST, COLORADO SPRINGS,CO,80909,793192.0,2,38.850453131,-104.7747129,Colorado,536.0,El Paso,ColoradoEl Paso County,23.2,24870.399999999998,563.0
LAKE REGION HEALTHCARE CANCER CARE CENTER,908 S CASCADE ST., FERGUS FALLS,MN,56537,765722.0,1,46.29062574,-96.06434651,Minnesota,80.0,Otter Tail,MinnesotaOtter Tail County,23.6,1888.0,43.0
PENROSE HOSPITAL,2222 N NEVADA AVE, COLORADO SPRINGS,CO,80907-6819,794317.0,1,38.877565185,-104.8216483,Colorado,484.0,El Paso,ColoradoEl Paso County,23.2,11228.8,254.0
ALTRU CANCER CENTER,1200 S. COLUMBIA ROAD FLOOR NO. MAIN FLOOR, GRAND FORKS,ND,58201,776505.0,1,47.896608546,-97.054662,North Dakota,198.0,Grand Forks,North DakotaGrand Forks County,42.7,8454.6,191.0
BENEFIS HOSPITALS INC.,SOUTH TOWER NUC MED STE FL 2 1101 26TH ST S, GREAT FALLS,MT,59405-5161,776611.0,1,47.491604456,-111.2536271,Montana,312.0,Cascade,MontanaCascade County,28.3,8829.6,200.0
ST PETER'S HEALTH,MARIA DEAN BLDG E ENTRANCE 2475 BROADWAY STE CTC, HELENA,MT,59601,788559.0,1,46.591539498,-112.0323498,Montana,125.0,Lewis And Clark,MontanaLewis And Clark County,23.6,2950.0,67.0
INTERMOUNTAIN HEALTH LOGAN REGIONAL HOSPITAL,GOSSNER CANCER CENTER 1281 N 600 E, LOGAN,UT,84341-6988,795730.0,1,41.762773101,-111.8196216,Utah,114.0,Cache,UtahCache County,38.2,4354.8,99.0
COMMUNITY HOSPITAL,2351 G ROAD, GRAND JUNCTION,CO,81505,770348.0,1,39.110899412,-108.5960506,Colorado,44.0,Mesa,ColoradoMesa County,24.7,1086.8,25.0
MCKAY-DEE HOSPITAL,4401 HARRISON BLVD., OGDEN,UT,84403,795613.0,1,41.188346387,-111.9494943,Utah,236.0,Weber,UtahWeber County,28.1,6631.6,150.0
INTERMOUNTAIN MEDICAL CENTER,5121 S. COTTONWOOD ST. BUILDING 2, MURRAY,UT,84107,795012.0,1,40.662762389,-111.8796933,Utah,486.0,Salt Lake,UtahSalt Lake County,26.7,12976.199999999999,294.0
SHENANDOAH MEDICAL CENTER,300 PERSHING AVE FL 1, SHENANDOAH,IA,51601-2355,776436.0,1,40.758272613,-95.3670162,Iowa,25.0,Page,IowaPage County,41.8,1045.0,24.0
SALINA REGIONAL HEALTH CENTER,400 S SANTA FE AVE, SALINA,KS,67401-4144,767293.0,1,38.821681505,-97.60546862,Kansas,177.0,Saline,KansasSaline County,23.6,4177.2,94.0
PROVIDENCE ST. PATRICK HOSPITAL,ST PATRICK HOSP NUC MED FL2 500 W BROADWAY, MISSOULA,MT,59802-4008,777106.0,1,46.880429761,-113.9696627,Montana,206.0,Missoula,MontanaMissoula County,22.2,4573.2,103.0
ST. LUKE'S MAGIC VALLEY MEDICAL CENTER,801 POLE LINE ROAD WEST, TWIN FALLS,ID,83301,766866.0,1,42.55983151,-114.4696565,Idaho,175.0,Twin Falls,IdahoTwin Falls County,30.0,5250.0,119.0
MERCYONE MEDICAL CENTER DES MOINES,1111 6TH AVENUE, DES MOINES,IA,50314,794887.0,1,41.602376588,-93.6345798,Iowa,519.0,Polk,IowaPolk County,26.8,13909.2,315.0
STORMONT VAIL/COTTON O'NEIL CANCER CENTER,1414 SW 8TH AVENUE, TOPEKA,KS,66606,768106.0,1,39.058105941,-95.71258077,Kansas,442.0,Shawnee,KansasShawnee County,23.6,10431.2,236.0
MAYO CLINIC ROCHESTER MINNESOTA,200 1ST ST. SW, ROCHESTER,MN,55905,774548.0,5,44.0243184398238,-92.4676655158206,Minnesota,1154.0,Olmsted,MinnesotaOlmsted County,23.6,136172.0,3080.0
ASCENSION VIA CHRISTI CANCER CENTER,817 N. EMPORIA, WICHITA,KS,67214,767962.0,1,37.704355555,-97.31381069,Kansas,641.0,Sedgwick,KansasSedgwick County,23.6,15127.6,342.0
ST. LUKE'S HOSPITAL OF DULUTH (DBA ASPIRUS ST. LUKE'S HOSPITAL),915 E FIRST ST, DULUTH,MN,55805,774279.0,1,46.798192395,-92.09522165,Minnesota,238.0,St. Louis,MinnesotaSt. Louis County,23.6,5616.8,127.0
MAYO CLINIC HEALTH SYSTEM - EAU CLAIRE,1221 WHIPPLE STREET, EAU CLAIRE,WI,54703,774469.0,2,44.828138414,-91.50470938,Wisconsin,186.0,Eau Claire,WisconsinEau Claire County,29.4,10936.8,247.0
SAINT LUKE'S HEALTH SYSTEM,4401 WORNALL ROAD, KANSAS CITY,MO,64111,786036.0,1,39.05531335,-94.59353351,Missouri,478.0,Jackson,MissouriJackson County,20.8,9942.4,225.0
ST. LUKE'S BOISE,190 EAST BANNOCK ST., BOISE,ID,83712,767279.0,1,43.605767673,-116.173872,Idaho,560.0,Ada,IdahoAda County,24.1,13496.0,305.0
CHRISTUS ST. VINCENT REGIONAL MEDICAL CENTER,455 ST. MICHAEL'S DR FL 1, SANTA FE,NM,87505-7601,794191.0,1,35.654641585,-105.951959,New Mexico,171.0,Santa Fe,New MexicoSanta Fe County,17.0,2907.0,66.0
GUNDERSEN HEALTH SYSTEM,1900 SOUTH AVENUE, LA CROSSE,WI,54601,765452.0,1,43.796635795,-91.21675409,Wisconsin,260.0,La Crosse,WisconsinLa Crosse County,28.4,7384.0,167.0
MAYO CLINIC HEALTH SYSTEM - LA CROSSE,700 WEST AVE SOUTH, LA CROSSE,WI,54601,773487.0,2,43.796635795,-91.21675409,Wisconsin,99.0,La Crosse,WisconsinLa Crosse County,28.4,5623.2,127.0
BSA HEALTH SYSTEMS,1600 WALLACE BLVD, AMARILLO,TX,79106,775267.0,1,35.199645474,-101.8920193,Texas,357.0,Potter,TexasPotter County,17.8,6354.6,144.0
UNIVERSITY OF IOWA HOSPITALS AND CLINICS,NUCLEAR MEDICINE 3822 JPPHAWKINS DRIVE, IOWA CITY,IA,52242,795893.0,5,41.6601,-91.5468,Iowa,740.0,Johnson,IowaJohnson County,35.0,129500.0,2929.0
KOOTENAI HEALTH,2003 KOOTENAI HEALTH WAY, COEUR D'ALENE,ID,83814,806931.0,1,47.671089791,-116.7859518,Idaho,326.0,Kootenai,IdahoKootenai County,25.3,8247.800000000001,187.0
BOTHWELL REGIONAL HEALTH CENTER,601 EAST 14TH STREET, SEDALIA,MO,65301,791136.0,1,38.69714551,-93.23252701,Missouri,71.0,Pettis,MissouriPettis County,22.3,1583.3,36.0
MULTICARE DEACONESS RADIATION ONCOLOGY,MED OFFICE BLDG 1 STE 130 FL 1 910 W 5TH AVE, SPOKANE,WA,99204-2966,775146.0,1,47.64774825,-117.4281837,Washington,279.0,Spokane,WashingtonSpokane County,18.2,5077.8,115.0
MERCY HOSPITAL OKLAHOMA CITY,4300 W. MEMORIAL RD, OKLAHOMA CITY,OK,73120,792108.0,1,35.585128389,-97.56293695,Oklahoma,344.0,Oklahoma,OklahomaOklahoma County,19.0,6536.0,148.0
SSM HEALTH ST. ANTHONY HOSPITAL,1000 N. LEE, OKLAHOMA CITY,OK,73102,777119.0,1,35.471961567,-97.51966565,Oklahoma,501.0,Oklahoma,OklahomaOklahoma County,19.0,9519.0,215.0
UNIVERSITY OF MISSOURI ELLIS FISCHEL CANCER CENTER,1 HOSPITAL DRIVE FLOOR NO. FIRST FLOOR, COLUMBIA,MO,65212,795083.0,2,38.9385923190968,-92.3284678180007,Missouri,665.0,Boone,MissouriBoone County,21.4,28461.999999999996,644.0
FREEMAN HEALTH SYSTEM,932 E 34TH ST, JOPLIN,MO,64804,785004.0,1,37.046085947,-94.51216742,Missouri,348.0,Newton,MissouriNewton County,26.9,9361.199999999999,212.0
MERCY HOSPITAL JOPLIN,100 MERCY WAY, JOPLIN,MO,64804,804538.0,1,37.046085947,-94.51216742,Missouri,242.0,Jasper,MissouriJasper County,23.4,5662.799999999999,128.0
ST. GEORGE REGIONAL HOSPITAL,PETCT DEPARTMENT 600 S MEDICAL CENTER DRIVE, SAINT GEORGE,UT,84790,795731.0,1,37.074766934,-113.5620955,Utah,256.0,Washington,UtahWashington County,19.6,5017.6,113.0
UNIVERSITY OF WISCONSIN HOSPITAL,600 HIGHLAND AVE., MADISON,WI,53792,792502.0,5,43.0769272635515,-89.4316525312269,Wisconsin,671.0,Dane,WisconsinDane County,33.6,112728.0,2550.0
SSM HEALTH ST. MARY'S HOSPITAL - MADISON,700 SOUTH PARK ST., MADISON,WI,53715,773490.0,1,43.064250047,-89.40089332,Wisconsin,354.0,Dane,WisconsinDane County,33.6,11894.4,269.0
KADLEC REGIONAL MEDICAL CENTER,888 SWIFT BLVD, RICHLAND,WA,99352,777147.0,1,46.243846289,-119.2766609,Washington,282.0,Benton,WashingtonBenton County,20.5,5781.0,131.0
FLAGSTAFF MEDICAL CENTER,1200 N BEAVER ST, FLAGSTAFF,AZ,86001-3118,794270.0,1,35.200277644,-111.6621352,Arizona,242.0,Coconino,ArizonaCoconino County,20.2,4888.4,111.0
UNIVERSITY MEDICAL CENTER,EAST TOWER NUC MED FL 4 602 INDIANA AVE, LUBBOCK,TX,79415-3364,768295.0,2,33.619360773,-101.8833914,Texas,422.0,Lubbock,TexasLubbock County,25.4,21437.6,485.0
SAINT ANTHONY MEDICAL CENTER,5666 E STATE ST, ROCKFORD,IL,61108-2425,767934.0,1,42.251788535,-89.02078062,Illinois,230.0,Winnebago,IllinoisWinnebago County,27.2,6256.0,142.0
ASCENSION NE WISCONSIN - ST. ELIZABETH'S HOSPITAL,1506 S. ONEIDA ST., APPLETON,WI,54915,796715.0,1,44.244597083,-88.37162103,Wisconsin,287.0,Outagamie,WisconsinOutagamie County,21.3,6113.1,138.0
THEDACARE REGIONAL CANCER CENTER- APPLETON,2500 EAST CAPITOL DRIVE, APPLETON,WI,54911,802060.0,1,44.27822975,-88.39721633,Wisconsin,147.0,Outagamie,WisconsinOutagamie County,21.3,3131.1,71.0
AURORA MEDICAL CENTER SUMMIT,36500 AURORA DRIVE, SUMMIT,WI,53066,774348.0,1,43.109343701,-88.48543557,Wisconsin,109.0,Waukesha,WisconsinWaukesha County,28.2,3073.7999999999997,70.0
AURORA BAYCARE MEDICAL CENTER,2845 GREENBRIER ROAD, GREEN BAY,WI,54311,774210.0,1,44.490116886,-87.93597545,Wisconsin,185.0,Brown,WisconsinBrown County,29.5,5457.5,123.0
FROEDTERT HOSPITAL,9200 WEST WISCONSIN AVENUE, MILWAUKEE,WI,53226,788477.0,1,43.050401786,-88.04286308,Wisconsin,729.0,Milwaukee,WisconsinMilwaukee County,32.9,23984.1,543.0
AURORA MEDICAL CENTER SHEBOYGAN COUNTY,3400 UNION AVE, SHEBOYGAN,WI,53081,774640.0,1,43.738586409,-87.72664935,Wisconsin,125.0,Sheboygan,WisconsinSheboygan County,33.4,4175.0,94.0
AURORA ST. LUKE'S MEDICAL CENTER,2900 WEST OKLAHOMA AVENUE, MILWAUKEE,WI,53215,774470.0,1,43.000805061,-87.9424973,Wisconsin,932.0,Milwaukee,WisconsinMilwaukee County,32.9,30662.8,694.0
MERCY HOSPITAL ST. LOUIS,615 S NEW BALLAS ROAD, ST. LOUIS,MO,63141,787863.0,1,38.664605862,-90.45607742,Missouri,782.0,St. Louis,MissouriSt. Louis County,27.6,21583.2,488.0
MISSOURI BAPTIST MEDICAL CENTER,3015 N BALLAS RD., ST. LOUIS,MO,63131,798306.0,1,38.614072961,-90.44309593,Missouri,402.0,St. Louis,MissouriSt. Louis County,27.6,11095.2,251.0
ADVOCATE GOOD SHEPHERD HOSPITAL,27750 WEST HIGHWAY 22 SUITE G50, BARRINGTON,IL,60010,775552.0,1,42.164366329,-88.14331084,Illinois,176.0,Lake,IllinoisLake County,29.2,5139.2,116.0
MERCY HOSPITAL FORT SMITH,7301 ROGERS AVE., FORT SMITH,AR,72903,793788.0,1,35.359093375,-94.36486874,Arkansas,256.0,Sebastian,ArkansasSebastian County,25.7,6579.2,149.0
RUSH COPLEY MEDICAL CENTER,2000 OGDEN AVENUE, AURORA,IL,60504,793023.0,1,41.743525515,-88.24479714,Illinois,192.0,Kane,IllinoisKane County,30.8,5913.6,134.0
MERCY HOSPITAL SOUTH DAVID SINDELAR CANCER CENTER,10050 KENNERLY RD., ST LOUIS,MO,63128,803014.0,1,38.4977855,-90.37340791,Missouri,725.0,St. Louis,MissouriSt. Louis County,27.6,20010.0,453.0
BARNES JEWISH HOSPITAL/WASHINGTON UNIVERSITY IN ST. LOUIS,4921 PARKVIEW PL, ST. LOUIS,MO,63110,797880.0,5,38.617379683,-90.25871572,Missouri,1265.0,St. Louis City,MissouriSt. Louis City County,23.6,149270.0,3376.0
CONFLUENCE HEALTH,1201 S MILLER, WENATCHEE,WA,98801,776651.0,1,47.426199526,-120.3297885,Washington,187.0,Chelan,WashingtonChelan County,31.8,5946.6,135.0
ADVOCATE CONDELL MEDICAL CENTER,BLDG 880 RADIATION ONCOLOGY FL1 801 S MILWAUKEE AVE, LIBERTYVILLE,IL,60048-3204,775050.0,1,42.288420328,-87.95193643,Illinois,257.0,Lake,IllinoisLake County,29.2,7504.4,170.0
NORTHWEST COMMUNITY HOSPITAL ENDEAVOR HEALTH,800 WEST CENTRAL ROAD, ARLINGTON HEIGHTS,IL,60005,777194.0,1,42.065115475,-87.98292568,Illinois,424.0,Cook,IllinoisCook County,29.5,12508.0,283.0
ASCENSION ALEXIAN BROTHERS MEDICAL CENTER,800 BIESTERFIELD RD RADIATION ONCOLOGY BUILDING 5 SUITE 110, ELK GROVE VILLAGE,IL,60007,795681.0,1,42.005686589,-88.01318686,Illinois,282.0,Cook,IllinoisCook County,29.5,8319.0,188.0
MIDWESTERN REGIONAL MEDICAL CENTER (CITY OF HOPE CHICAGO),2520 ELISHA AVENUE, ZION,IL,60099,764703.0,1,42.44968173,-87.84688561,Illinois,73.0,Lake,IllinoisLake County,29.2,2131.6,48.0
ELMHURST HOSPITAL,155 E. BRUSH HILL ROAD, ELMHURST,IL,60126,775197.0,1,41.892342492,-87.94214451,Illinois,258.0,Dupage,IllinoisDupage County,23.6,6088.8,138.0
ADVOCATE LUTHERAN GENERAL HOSPITAL,1700 LUTHER LANE, PARK RIDGE,IL,60068,773969.0,1,42.012218883,-87.84218058,Illinois,562.0,Cook,IllinoisCook County,29.5,16579.0,375.0
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,836 W. WELLINGTON AVE., CHICAGO,IL,60657,774863.0,1,41.939676739,-87.64953007,Illinois,237.0,Cook,IllinoisCook County,29.5,6991.5,158.0
RUSH UNIVERSITY MEDICAL CENTER,1620 W. HARRISON ST.3RD FLOOR TOWER, CHICAGO,IL,60612,792823.0,2,41.880912223,-87.68620795,Illinois,608.0,Cook,IllinoisCook County,29.5,35872.0,811.0
ADVOCATE CHRIST MEDICAL CENTER,4440 WEST 95TH STREET ATTN: INPATIENT NUC MED DEPT, OAK LAWN,IL,60453-2600,775051.0,1,41.712926529,-87.75018349,Illinois,725.0,Cook,IllinoisCook County,29.5,21387.5,484.0
NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST GALTER PAVILION - NUCLEAR MEDICINE, CHICAGO,IL,60611,797363.0,5,41.895104551,-87.62144806,Illinois,944.0,Cook,IllinoisCook County,29.5,139240.0,3150.0
UNIVERSITY OF CHICAGO MEDICAL CENTER,5841 S. MARYLAND AVENUE, CHICAGO,IL,60637,785535.0,5,41.782669285,-87.60268161,Illinois,737.0,Cook,IllinoisCook County,29.5,108707.5,2459.0
MAYO CLINIC ARIZONA,5881 E. MAYO BLVD, PHOENIX,AZ,85054,775013.0,5,33.670575911,-111.9502536,Arizona,353.0,Maricopa,ArizonaMaricopa County,17.6,31064.000000000004,703.0
