CBSA,NAME,TOT_POP,INTPTLAT,INTPTLON,H_MEDIAN,Cost Level
35620,"New York-Newark-Jersey City, NY-NJ",20112448,+40.7749300,-073.8737580,36.56,856.0518731988473
31080,"Los Angeles-Long Beach-Anaheim, CA",12844441,+34.1087033,-118.1827533,33.47,783.6995677233429
16980,"Chicago-Naperville-Elgin, IL-IN",9434123,+41.8235214,-087.8282967,40.49,948.0727665706052
19100,"Dallas-Fort Worth-Arlington, TX",8477157,+32.8491708,-096.9704894,24.06,563.364553314121
26420,"Houston-Pasadena-The Woodlands, TX",7904627,+29.7495926,-095.3536422,24,561.9596541786743
12060,"Atlanta-Sandy Springs-Roswell, GA",6482182,+33.6937280,-084.3999113,24.77,579.9891930835735
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6465724,+38.7982054,-077.4868816,29.45,689.5713256484148
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6391072,+26.1018281,-080.4787552,24.35,570.1548991354467
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6329118,+39.8949576,-075.3119824,30.56,715.5619596541786
38060,"Phoenix-Mesa-Chandler, AZ",5228938,+33.1857653,-112.0678624,28.37,664.2831412103745
14460,"Boston-Cambridge-Newton, MA-NH",5034221,+42.5176060,-071.0219925,37.53,878.764409221902
40140,"Riverside-San Bernardino-Ontario, CA",4769007,+34.5384763,-116.1345414,30.31,709.7082132564841
41860,"San Francisco-Oakland-Fremont, CA",4630041,+37.7737185,-122.2744317,38.61,904.0525936599423
19820,"Detroit-Warren-Dearborn, MI",4390913,+42.7218478,-083.2008463,30.51,714.3912103746397
42660,"Seattle-Tacoma-Bellevue, WA",4161883,+47.4905518,-121.8339765,37.82,885.5547550432276
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3790295,+45.0966640,-093.2753610,36.8,861.6714697406338
45300,"Tampa-St. Petersburg-Clearwater, FL",3418895,+28.1205405,-082.5251880,23.82,557.7449567723343
41740,"San Diego-Chula Vista-Carlsbad, CA",3282248,+33.0236041,-116.7761174,32.49,760.7528818443803
19740,"Denver-Aurora-Centennial, CO",3092037,+39.4347890,-104.9010728,30.35,710.6448126801153
36740,"Orlando-Kissimmee-Sanford, FL",2957672,+28.4343962,-081.3560839,23.49,550.0180115273774
16740,"Charlotte-Concord-Gastonia, NC-SC",2938830,+35.1663423,-080.7972848,24.59,575.7744956772334
12580,"Baltimore-Columbia-Towson, MD",2857781,+39.3043610,-076.5495009,28.42,665.4538904899135
41180,"St. Louis, MO-IL",2814421,+38.7402108,-090.3458253,35.16,823.2708933717579
41700,"San Antonio-New Braunfels, TX",2813140,+29.4330599,-098.6069734,23.34,546.5057636887608
12420,"Austin-Round Rock-San Marcos, TX",2620945,+30.2497437,-097.6498417,24.45,572.4963976945244
38900,"Portland-Vancouver-Hillsboro, OR-WA",2542282,+45.6006221,-122.4843780,36.29,849.729827089337
40900,"Sacramento-Roseville-Folsom, CA",2477274,+38.7902715,-121.0056427,32.81,768.2456772334293
38300,"Pittsburgh, PA",2421992,+40.4395249,-079.8360972,29.58,692.6152737752161
29820,"Las Vegas-Henderson-North Las Vegas, NV",2407226,+36.2141295,-115.0143977,29.17,683.0151296829971
17140,"Cincinnati, OH-KY-IN",2312858,+39.1005465,-084.4795331,30.04,703.3861671469741
28140,"Kansas City, MO-KS",2270682,+38.9318567,-094.4438406,30.4,711.8155619596541
18140,"Columbus, OH",2242028,+39.9685617,-082.8359105,32.13,752.3234870317003
26900,"Indianapolis-Carmel-Greenwood, IN",2205695,+39.7486700,-086.2123823,30.15,705.9618155619596
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2197416,+36.1181822,-086.6441196,26.74,626.1167146974062
41940,"San Jose-Sunnyvale-Santa Clara, CA",1984473,+36.9084718,-121.3713721,38.55,902.6476945244956
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",1797213,+36.8044077,-076.4495261,27.12,635.0144092219019
27260,"Jacksonville, FL",1785500,+30.2365943,-081.7544462,23.86,558.6815561959654
39300,"Providence-Warwick, RI-MA",1708161,+41.7068397,-071.2866874,31.37,734.5280979827089
39580,"Raleigh-Cary, NC",1595720,+35.7567464,-078.4604412,24.62,576.4769452449567
33340,"Milwaukee-Waukesha, WI",1575010,+42.9126431,-087.8623115,33.49,784.1678674351585
36420,"Oklahoma City, OK",1512813,+35.4309676,-097.5069659,24.13,565.0036023054754
31140,"Louisville/Jefferson County, KY-IN",1402509,+38.3058381,-085.6816455,28.44,665.9221902017292
40060,"Richmond, VA",1389338,+37.4113241,-077.4418164,25.15,588.8868876080692
32820,"Memphis, TN-MS-AR",1341412,+35.0244194,-089.8719712,24.29,568.7499999999999
41620,"Salt Lake City-Murray, UT",1308377,+40.5728869,-112.9532527,28.92,677.1613832853026
23420,"Fresno, CA",1203383,+36.7610058,-119.6550193,30.13,705.493515850144
13820,"Birmingham, AL",1197766,+33.4025986,-086.7295151,24.06,563.364553314121
24340,"Grand Rapids-Wyoming-Kentwood, MI",1183645,+43.0375977,-085.7781669,28.78,673.8832853025937
25540,"Hartford-West Hartford-East Hartford, CT",1171426,+41.7186503,-072.5739191,35.33,827.2514409221901
15380,"Buffalo-Cheektowaga, NY",1155653,+43.0443711,-078.7773351,30.28,709.0057636887608
46060,"Tucson, AZ",1074685,+32.1280380,-111.7836574,24.35,570.1548991354467
46140,"Tulsa, OK",1069273,+36.2544416,-096.1772979,23.57,551.8912103746397
40380,"Rochester, NY",1056149,+43.1480380,-077.5232574,29.78,697.2982708933716
24860,"Greenville-Anderson-Greer, SC",1014101,+34.6837085,-082.4134227,23.74,555.871757925072
36540,"Omaha, NE-IA",1009836,+41.2904587,-095.9999701,28.21,660.5367435158502
46520,"Urban Honolulu, HI",988703,+21.4613654,-158.2019740,40.84,956.2680115273774
14860,"Bridgeport-Stamford-Danbury, CT",978179,+41.2274128,-073.3670614,35,819.5244956772334
35380,"New Orleans-Metairie, LA",970849,+30.0534195,-089.9345018,24.42,571.7939481268012
28940,"Knoxville, TN",968137,+36.0147907,-084.2067014,24.1,564.3011527377521
35840,"North Port-Bradenton-Sarasota, FL",948158,+27.3290555,-082.4145331,23.78,556.8083573487031
12540,"Bakersfield-Delano, CA",927068,+35.3466288,-118.7295064,30.19,706.8984149855908
10740,"Albuquerque, NM",925279,+35.1234965,-106.4583918,23.93,560.3206051873199
32580,"McAllen-Edinburg-Mission, TX",921549,+26.3963839,-098.1809900,18.94,443.4798270893372
10580,"Albany-Schenectady-Troy, NY",915835,+42.7879202,-073.9423479,30.29,709.2399135446686
16700,"Charleston-North Charleston, SC",889263,+33.0175399,-080.0099468,24.66,577.4135446685879
12940,"Baton Rouge, LA",888699,+30.5152419,-091.1269263,27.75,649.7658501440922
49340,"Worcester, MA",888502,+42.2173112,-071.9255354,35.97,842.2370317002881
10900,"Allentown-Bethlehem-Easton, PA-NJ",887615,+40.7893392,-075.3981580,29.59,692.8494236311238
21340,"El Paso, TX",881291,+31.5273940,-105.5213326,21.31,498.97334293948126
17900,"Columbia, SC",879918,+34.0775845,-081.0378453,23.87,558.9157060518733
15980,"Cape Coral-Fort Myers, FL",875607,+26.5632731,-081.9841817,23.35,546.7399135446686
29460,"Lakeland-Winter Haven, FL",874790,+27.9536488,-081.6935336,22.9,536.2031700288184
14260,"Boise City, ID",864243,+43.0066485,-116.1419089,27.38,641.1023054755043
37100,"Oxnard-Thousand Oaks-Ventura, CA",830851,+34.3587477,-119.1331453,31.09,727.971902017291
19430,"Dayton-Kettering-Beavercreek, OH",826554,+39.8297456,-084.1409921,29.55,691.9128242074928
44700,"Stockton-Lodi, CA",823815,+37.9349815,-121.2722440,30.51,714.3912103746397
24660,"Greensboro-High Point, NC",805945,+36.0252039,-079.7926333,23.74,555.871757925072
17820,"Colorado Springs, CO",781796,+38.8455072,-104.6387277,28.27,661.9416426512968
30780,"Little Rock-North Little Rock-Conway, AR",777607,+34.7557726,-092.4005889,22.14,518.4077809798271
39340,"Provo-Orem-Lehi, UT",773426,+39.8720670,-112.3590592,26.16,612.536023054755
19780,"Des Moines-West Des Moines, IA",758539,+41.5770501,-093.7597124,29.85,698.9373198847263
19660,"Deltona-Daytona Beach-Ormond Beach, FL",746933,+29.1789002,-081.1890231,23.05,539.7154178674351
49180,"Winston-Salem, NC",712206,+36.0788515,-080.3450642,22.92,536.671469740634
31540,"Madison, WI",709685,+43.0838459,-089.5977453,32.62,763.7968299711814
10420,"Akron, OH",701780,+41.1466395,-081.3501104,31.14,729.1426512968299
36260,"Ogden, UT",672784,+41.6226233,-113.0602520,27.31,639.4632564841497
37340,"Palm Bay-Melbourne-Titusville, FL",663982,+28.2983112,-080.7003334,23.99,561.7255043227665
48620,"Wichita, KS",663809,+37.6378960,-097.2462875,24.31,569.2182997118156
45060,"Syracuse, NY",652273,+43.0065163,-076.1961336,29.64,694.0201729106628
12260,"Augusta-Richmond County, GA-SC",641231,+33.4603713,-081.9828327,23.67,554.2327089337176
20500,"Durham-Chapel Hill, NC",625485,+36.0605886,-078.9897875,25.31,592.6332853025937
22220,"Fayetteville-Springdale-Rogers, AR",622177,+36.1163935,-094.0795449,22.98,538.0763688760807
25420,"Harrisburg-Carlisle, PA",617427,+40.3359150,-077.0504897,29.4,688.4005763688759
27140,"Jackson, MS",609847,+32.4282801,-090.2023875,22.74,532.4567723342939
44060,"Spokane-Spokane Valley, WA",608012,+48.0916180,-117.6634720,30.55,715.3278097982708
45780,"Toledo, OH",599376,+41.5553128,-083.5170883,31.23,731.25
16860,"Chattanooga, TN-GA",594530,+35.0493612,-085.3611582,24.38,570.8573487031699
35300,"New Haven, CT",578741,+41.3497185,-072.9002033,34.63,810.8609510086455
