Hospital (Novartis),Address,City,State,Zip,rpt_rec_num,Designation,LATITUDE,LONGITUDE,State_Full,Number of Beds,County,Lookup,prostate_cancer_incidence,Demand Weight,Demand per Year
MONUMENT HEALTH RAPID CITY HOSPITAL - FAIRMONT BLVD,353 FAIRMONT BLVD MEDICAL IMAGING/ NUCLEAR MEDICINE FL 2, RAPID CITY,SD,57701,793743,1,44.07914241,-103.2152968,South Dakota,385,Pennington,South DakotaPennington County,19.6,7546.000000000001,171
CHEYENNE REGIONAL MEDICAL CENTER,BLDG WEST CAMPUS FL 1 214 E 23RD ST, CHEYENNE,WY,82001-3748,791460,1,41.14317498,-104.7852121,Wyoming,159,Laramie,WyomingLaramie County,25.8,4102.2,93
BILLINGS CLINIC,2800 10TH AVE N, BILLINGS,MT,59101,777548,1,45.77283523,-108.5001171,Montana,334,Yellowstone,MontanaYellowstone County,29.2,9752.8,221
KAISER PERMANENTE ROCK CREEK,280 EXEMPLA CIR, LAFAYETTE,CO,80026,795452,1,39.99642626,-105.101503,Colorado,183,Boulder,ColoradoBoulder County,26.9,4922.7,111
UCHEALTH- UNIVERSITY OF COLORADO HOSPITAL,1635 AURORA CT, AURORA,CO,80045,791643,5,39.74698929,-104.837035,Colorado,754,Adams,ColoradoAdams County,21.7,81809,1850
NATIONAL JEWISH HEALTH,1400 JACKSON ST, DENVER,CO,80206,794719,1,39.73376612,-104.9526567,Colorado,13,Denver,ColoradoDenver County,21.9,284.7,6
ST ANTHONY HOSPITAL,ST ANTHONY HOSP - NUC MED 11700 W 2ND PLACE STE 150 FL 1, LAKEWOOD,CO,80228-1704,793800,1,39.69589879,-105.1449794,Colorado,220,Denver,ColoradoDenver County,21.9,4818,109
ADVENT HEALTH PORTER,PORTER HOSP NUC MED AND RAD 2525 S DOWNING ST, DENVER,CO,80210-5817,798652,1,39.67950789,-104.9643776,Colorado,180,Denver,ColoradoDenver County,21.9,3941.9999999999995,89
BOZEMAN HEALTH DEACONESS REGIONAL MEDICAL CENTER,DEACONESS HOSPI BLDG FL 2 915 HIGHLAND BLVD, BOZEMAN,MT,59715-6902,776612,1,45.67760413,-111.0268333,Montana,139,Gallatin,MontanaGallatin County,40.3,5601.7,127
AVERA MCKENNAN HOSPITAL,1325 S. CLIFF AVE, SIOUX FALLS,SD,57117,793742,1,43.53437309,-96.71481509,South Dakota,549,Minnehaha,South DakotaMinnehaha County,38.6,21191.4,479
