Lambda,Site,Area,Capacity,Demand_Served,Utilization,Hospitals_Served,Avg_Travel,Max_Travel,Construction_Cost,Transport_Cost
0.0,"New York-Newark-Jersey City, NY-NJ",70000.0,252000.0,80268.0,31.852380952380955,143,3.4244829059829063,8.570555555555556,59923631.12391931,25973245.07333333
0.0,"Chicago-Naperville-Elgin, IL-IN",70000.0,252000.0,54940.0,21.801587301587304,131,5.285758693808312,15.914944444444446,66365093.65994236,30684661.92333334
0.0,"Dallas-Fort Worth-Arlington, TX",70000.0,252000.0,23530.0,9.337301587301587,83,6.977679049531459,15.863694444444445,39435518.731988475,18241719.10333334
0.0,"Atlanta-Sandy Springs-Roswell, GA",70000.0,252000.0,56397.0,22.379761904761907,149,6.1986597688292315,12.275027777777778,40599243.51585014,41417219.02000002
0.0,"San Francisco-Oakland-Fremont, CA",70000.0,252000.0,34866.0,13.835714285714285,120,10.280397222222224,21.638583333333333,63283681.55619597,36205212.68666667
0.1,"New York-Newark-Jersey City, NY-NJ",22296.666666666668,80268.0,80268.0,100.0,143,3.4244829059829063,8.570555555555556,19087103.2660903,25973245.07333333
0.1,"Chicago-Naperville-Elgin, IL-IN",15264.444444444443,54952.0,54952.0,100.0,130,5.338256196581196,21.765666666666664,14471804.074607747,31026259.35
0.1,"Dallas-Fort Worth-Arlington, TX",10000.0,36000.0,23557.0,65.4361111111111,84,7.02676884920635,15.863694444444445,5633645.533141211,18277687.06333334
0.1,"Atlanta-Sandy Springs-Roswell, GA",15716.388888888889,56579.0,56579.0,100.0,150,6.218693333333333,12.275027777777778,9115335.709854307,41618227.706666686
0.1,"Fresno, CA",10000.0,36000.0,34645.0,96.23611111111111,119,10.262922969187676,23.35325,7054935.158501441,35837125.083333336
0.3,"New York-Newark-Jersey City, NY-NJ",22331.666666666668,80394.0,80394.0,100.0,144,3.4545127314814814,8.570555555555556,19117065.081652258,26090406.593333326
0.3,"Chicago-Naperville-Elgin, IL-IN",13906.388888888889,50063.0,50063.0,100.0,112,4.6324427083333335,13.193805555555556,13184268.586895613,25447387.016666666
0.3,"Atlanta-Sandy Springs-Roswell, GA",15886.111111111111,57190.0,57190.0,100.0,154,6.273797258297257,12.275027777777778,9213772.764569324,42236495.39666669
0.3,"Oklahoma City, OK",10000.0,36000.0,27709.0,76.96944444444445,97,7.273475658648339,20.42988888888889,5650036.023054754,23459925.143333334
0.3,"Fresno, CA",10000.0,36000.0,34645.0,96.23611111111111,119,10.262922969187676,23.35325,7054935.158501441,35837125.083333336
0.5,"New York-Newark-Jersey City, NY-NJ",22331.666666666668,80394.0,80394.0,100.0,144,3.4545127314814814,8.570555555555556,19117065.081652258,26090406.593333326
0.5,"Chicago-Naperville-Elgin, IL-IN",13906.388888888889,50063.0,50063.0,100.0,112,4.6324427083333335,13.193805555555556,13184268.586895613,25447387.016666666
0.5,"Atlanta-Sandy Springs-Roswell, GA",15740.555555555555,56666.0,56666.0,100.0,152,6.261435307017544,12.275027777777778,9129352.115353826,41787107.343333356
0.5,"Oklahoma City, OK",10000.0,36000.0,28233.0,78.425,99,7.2919189113355785,20.42988888888889,5650036.023054754,23980169.703333337
0.5,"Fresno, CA",10000.0,36000.0,34645.0,96.23611111111111,119,10.262922969187676,23.35325,7054935.158501441,35837125.083333336
0.7,"Atlanta-Sandy Springs-Roswell, GA",15743.055555555555,56675.0,56675.0,100.0,152,6.240219298245614,12.275027777777778,9130802.088336535,41698536.490000024
0.7,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",23268.61111111111,83767.0,83767.0,100.0,153,3.873300653594771,9.826944444444443,16650132.96509766,34467172.896666646
0.7,"Milwaukee-Waukesha, WI",11015.277777777777,39655.0,39655.0,100.0,91,4.7268977411477415,11.982861111111111,8637826.884205893,20550196.060000002
0.7,"Oklahoma City, OK",10000.0,36000.0,35259.0,97.94166666666668,111,7.503819569569571,20.42988888888889,5650036.023054754,31626982.856666666
0.7,"Fresno, CA",10000.0,36000.0,34645.0,96.23611111111111,119,10.262922969187676,23.35325,7054935.158501441,35837125.083333336
0.9,"Atlanta-Sandy Springs-Roswell, GA",16327.222222222223,58778.0,58778.0,100.0,162,6.4144408436213975,12.275027777777778,9469612.441962857,43962112.5466667
0.9,"Baltimore-Columbia-Towson, MD",23606.388888888887,84983.0,84983.0,100.0,155,4.3520155913978495,11.193166666666666,15708963.326528978,42334608.68666668
0.9,"Milwaukee-Waukesha, WI",10217.777777777777,36784.0,36784.0,100.0,80,4.297021527777778,9.738833333333334,8012453.009926353,17756999.50333333
0.9,"Oklahoma City, OK",10000.0,36000.0,34811.0,96.69722222222222,110,7.569078787878789,20.42988888888889,5650036.023054754,31333999.49
0.9,"Fresno, CA",10000.0,36000.0,34645.0,96.23611111111111,119,10.262922969187676,23.35325,7054935.158501441,35837125.083333336
1.0,"Atlanta-Sandy Springs-Roswell, GA",15570.277777777777,56053.0,56053.0,100.0,156,6.269181445868946,19.904111111111117,9030592.84442043,39980911.79333335
1.0,"Baltimore-Columbia-Towson, MD",22977.5,82719.0,82719.0,100.0,145,4.181918199233716,9.260111111111112,15290466.768731989,40172745.58000001
1.0,"Milwaukee-Waukesha, WI",10000.0,36000.0,35998.0,99.99444444444444,77,4.235816378066377,9.738833333333334,7841678.674351585,17200849.04333333
1.0,"Oklahoma City, OK",10892.222222222223,39212.0,39212.0,100.0,124,11.005437051971327,35.55880555555555,6154144.792667306,50217577.53333333
1.0,"Fresno, CA",10005.277777777777,36019.0,36019.0,100.0,124,15.05860685483871,59.178444444444445,7058658.59650176,61873686.77666667
