Scenario,Facility,Area,Construction_Cost,Transport_Cost,Demand_Served,Coverage_Pct,Hospitals_Served
Random_0,"New York-Newark-Jersey City, NY-NJ",23632.184057760696,20230375.43042598,25982284.314108133,85075.86260793856,100.0,143
Random_0,"Chicago-Naperville-Elgin, IL-IN",14196.172260366948,13459004.309598973,28868330.995922692,51106.220137321,96.8858667186215,130
Random_0,"Dallas-Fort Worth-Arlington, TX",10000.0,5633645.533141211,17476132.25579625,23697.46577369881,83.57805018327869,84
Random_0,"Atlanta-Sandy Springs-Roswell, GA",15568.852380518323,9029766.129414095,41351834.65906789,56047.868569866,91.46389834616001,150
Random_0,"Fresno, CA",10000.0,7054935.158501441,36287903.101061575,34916.223711103834,62.71874729913824,119
Random_1,"New York-Newark-Jersey City, NY-NJ",21626.217276313702,18513163.809593618,26200345.780924827,77854.3821947294,100.0,143
Random_1,"Los Angeles-Long Beach-Anaheim, CA",10000.0,7836995.677233429,35564448.713525206,35936.78470375987,72.93369103752492,120
Random_1,"Chicago-Naperville-Elgin, IL-IN",14731.719056784033,13966741.642506145,28796692.584061768,53034.18860442253,98.03397085476473,129
Random_1,"Dallas-Fort Worth-Arlington, TX",10000.0,5633645.533141211,18464842.466987114,23621.5653205778,79.91646552509684,84
Random_1,"Atlanta-Sandy Springs-Roswell, GA",15606.922994048002,9051846.673835369,40514328.643182926,56184.92277857278,92.15935403995287,150
Random_2,"New York-Newark-Jersey City, NY-NJ",21453.419359863663,18365239.829531703,25632505.488047272,77232.30969552364,100.0,143
Random_2,"Chicago-Naperville-Elgin, IL-IN",15438.590018566343,14636906.750851523,30696687.55203733,55578.92406683884,97.28668458675175,130
Random_2,"Dallas-Fort Worth-Arlington, TX",10000.0,5633645.533141211,16620390.219308835,21661.070593861587,82.3054246065042,84
Random_2,"Atlanta-Sandy Springs-Roswell, GA",15989.824627226328,9273925.483092848,42216646.09713535,57563.36865803213,91.99196305351516,150
Random_2,"Fresno, CA",10000.0,7054935.158501441,37146423.04683743,34163.562857816156,58.3419764265267,119
Random_3,"New York-Newark-Jersey City, NY-NJ",20929.74088614127,17916943.891147736,25327341.15899487,75347.06719012343,100.0,143
Random_3,"Los Angeles-Long Beach-Anaheim, CA",10000.0,7836995.677233429,37225087.16286564,35178.9394288478,69.98844015987345,120
Random_3,"Chicago-Naperville-Elgin, IL-IN",14904.981626784487,14131007.166589608,29474814.288724907,53657.933856439326,97.75027982656964,129
Random_3,"Dallas-Fort Worth-Arlington, TX",10000.0,5633645.533141211,17830335.079142895,22668.44388389431,79.22029408469773,84
Random_3,"Atlanta-Sandy Springs-Roswell, GA",16593.171334397302,9623860.052934574,44534665.284423515,59735.41680384696,91.54465400673892,150
Random_4,"New York-Newark-Jersey City, NY-NJ",21873.540342173426,18724885.183408115,25356868.668721452,78744.74523182443,100.0,143
Random_4,"Los Angeles-Long Beach-Anaheim, CA",10006.812442757162,7842334.585677356,36505755.68384852,36024.52479392577,71.79747984622098,120
Random_4,"Chicago-Naperville-Elgin, IL-IN",14757.191255135498,13990891.140067853,28899470.152939778,53125.888518487765,97.56058684805528,129
Random_4,"Dallas-Fort Worth-Arlington, TX",10000.0,5633645.533141211,18419495.810220238,24070.816586887417,79.60206467116906,84
Random_4,"Atlanta-Sandy Springs-Roswell, GA",15082.99766729069,8747975.646333348,39937195.12616983,54298.7916022465,92.85885994626543,150
Random_5,"New York-Newark-Jersey City, NY-NJ",23127.14823934791,19798038.5720412,25793336.168165144,83257.73366165251,100.0,143
Random_5,"Chicago-Naperville-Elgin, IL-IN",14029.15937339659,13300663.939796042,26472191.15065355,50504.973744227726,97.99669687580625,119
Random_5,"Atlanta-Sandy Springs-Roswell, GA",16849.11779645598,9772306.23493658,45135521.408601075,60656.82406724153,91.80217211176293,152
Random_5,"San Francisco-Oakland-Fremont, CA",10000.0,9040525.936599424,32516134.172589287,33745.15876847645,64.92705103197385,118
Random_5,"Oklahoma City, OK",10000.0,5650036.023054754,20958487.833065342,24978.314410904888,79.61976242257158,94
Random_6,"New York-Newark-Jersey City, NY-NJ",21427.366591302445,18342937.308202855,24842463.898619745,77138.51972868886,100.0,143
Random_6,"Chicago-Naperville-Elgin, IL-IN",15121.045389327726,14335851.33569963,29773918.391642254,54435.763401579825,97.71790793512498,130
Random_6,"Dallas-Fort Worth-Arlington, TX",10000.0,5633645.533141211,17065349.12750511,22329.158167412163,81.96717088529604,84
Random_6,"Atlanta-Sandy Springs-Roswell, GA",14617.21855780114,8477828.796465319,38677969.219565675,52621.986808084126,92.53673318148924,150
Random_6,"Fresno, CA",10000.0,7054935.158501441,35720740.12366067,34834.73552381687,63.35721166617404,119
Random_7,"New York-Newark-Jersey City, NY-NJ",22514.942584516426,19273958.774439782,26133433.64440182,81053.7933042591,100.0,143
Random_7,"Chicago-Naperville-Elgin, IL-IN",14429.088363763012,13679825.724124525,26198066.59383443,51944.71810954684,98.33013030934889,119
Random_7,"Atlanta-Sandy Springs-Roswell, GA",16735.34833722792,9706321.178081343,44472771.52203518,60247.254014020524,92.11951187168214,152
Random_7,"San Francisco-Oakland-Fremont, CA",10000.0,9040525.936599424,34599215.241064124,33178.09155778641,60.253195262842965,118
Random_7,"Oklahoma City, OK",10000.0,5650036.023054754,23034916.841526743,28008.482741124564,77.95359388428349,94
Random_8,"New York-Newark-Jersey City, NY-NJ",24072.53777320815,20607341.053404845,27194764.783731394,86661.1359835493,100.0,143
Random_8,"Chicago-Naperville-Elgin, IL-IN",15234.786885683168,14443686.550823215,31396397.596538387,54845.23278845945,97.72122277799934,129
Random_8,"Dallas-Fort Worth-Arlington, TX",10000.0,5633645.533141211,17742293.758875694,22514.284066828994,79.88538511034213,84
Random_8,"Atlanta-Sandy Springs-Roswell, GA",15774.158345163756,9148841.370184043,41653093.91018427,56786.970042589506,92.52061561999409,150
Random_8,"San Francisco-Oakland-Fremont, CA",10000.0,9040525.936599424,34631825.36706514,33917.518961215836,60.18975146457134,120
Random_9,"New York-Newark-Jersey City, NY-NJ",21877.22953049031,18728043.319977365,25703572.150668994,78758.0263097651,100.0,143
Random_9,"Los Angeles-Long Beach-Anaheim, CA",10000.0,7836995.677233429,35836202.20544133,34474.98852988904,70.94137161249618,120
Random_9,"Chicago-Naperville-Elgin, IL-IN",15743.541027478204,14926022.497539088,30566955.509021852,56676.74769892154,98.10011116609274,129
Random_9,"Dallas-Fort Worth-Arlington, TX",10000.0,5633645.533141211,17315023.383629613,22986.359617815186,82.98423174045789,84
Random_9,"Atlanta-Sandy Springs-Roswell, GA",16784.86363481088,9735039.515571779,45039558.25867759,60425.50908531917,92.54361711243163,150
